.00	742615
.01	22558
.02	18550
.03	18078
.04	19071
.05	21642
.06	23187
.07	25140
.08	25909
.09	25923
.10	131119
.11	25337
.12	24732
.13	24099
.14	23605
.15	23423
.16	23163
.17	23006
.18	22803
.19	22334
.20	229561
.21	23589
.22	23928
.23	25054
.24	25855
.25	27693
.26	29079
.27	30786
.28	33006
.29	35023
.30	499764
.31	39288
.32	41641
.33	45282
.34	48475
.35	51857
.36	55248
.37	58089
.38	61583
.39	65512
.40	916886
.41	72247
.42	76920
.43	80436
.44	84910
.45	89308
.46	93668
.47	97528
.48	102107
.49	105666
.50	1363203
.51	114268
.52	118256
.53	121869
.54	126147
.55	128936
.56	131798
.57	136114
.58	140407
.59	144085
.60	1743881
.61	149460
.62	153826
.63	156620
.64	158384
.65	162004
.66	164463
.67	168193
.68	170828
.69	172923
.70	2016486
.71	176868
.72	180172
.73	182368
.74	184148
.75	186604
.76	186800
.77	189786
.78	190262
.79	193038
.80	2178087
.81	195631
.82	196828
.83	197748
.84	198259
.85	198989
.86	199023
.87	200655
.88	200169
.89	202147
.90	2239263
.91	201437
.92	201637
.93	203035
.94	203236
.95	203529
.96	203396
.97	203594
.98	203975
.99	204902
0	2359
1	49658016
1.00	2740741
1.01	205501
1.02	205662
1.03	204949
1.04	203733
1.05	203722
1.06	202738
1.07	201378
1.08	201149
1.09	201388
1.10	2179196
1.11	200608
1.12	199185
1.13	198362
1.14	198552
1.15	197654
1.16	196321
1.17	195878
1.18	195627
1.19	195349
1.20	2105397
1.21	193682
1.22	192559
1.23	192442
1.24	190301
1.25	189944
1.26	189670
1.27	189204
1.28	186438
1.29	186989
1.30	2002301
1.31	184573
1.32	184158
1.33	183065
1.34	182050
1.35	180732
1.36	179862
1.37	178948
1.38	177186
1.39	177273
1.40	1911437
1.41	177233
1.42	175972
1.43	174337
1.44	173315
1.45	172660
1.46	172459
1.47	171192
1.48	169967
1.49	169865
1.50	1812228
1.51	167167
1.52	166193
1.53	165661
1.54	165420
1.55	164337
1.56	162420
1.57	162165
1.58	160566
1.59	160219
1.60	1711655
1.61	158810
1.62	157678
1.63	156416
1.64	155544
1.65	155108
1.66	153590
1.67	153753
1.68	151669
1.69	151269
1.70	1602189
1.71	149440
1.72	147297
1.73	147434
1.74	146943
1.75	144988
1.76	143700
1.77	142938
1.78	142036
1.79	141377
1.80	1492406
1.81	139486
1.82	139219
1.83	138005
1.84	135628
1.85	134809
1.86	133634
1.87	133428
1.88	132180
1.89	131421
1.90	1391557
1.91	130703
1.92	129515
1.93	128515
1.94	126914
1.95	126681
1.96	125329
1.97	124379
1.98	123820
1.99	122537
10.00	80254
10.01	5895
